2026-07-05 14:36:00 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:36:00 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:36:30 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:36:45 | INFO | trading_bot | Alpaca stream market-crypto closed for Paper: status=None msg=None
2026-07-05 14:36:50 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:36:50 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:37:20 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:37:40 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:37:41 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:38:10 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:38:30 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:38:30 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:39:01 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:39:20 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:39:20 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:39:50 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:40:10 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:40:10 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:40:16 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:40:40 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:41:00 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:41:00 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:41:50 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:41:50 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:41:55 | INFO | trading_bot | Alpaca stream market-crypto closed for Paper: status=None msg=None
2026-07-05 14:42:00 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:42:40 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:42:40 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:42:44 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (1m)
2026-07-05 14:42:44 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (5m)
2026-07-05 14:42:44 | WARNING | trading_bot | Alpaca devolvio barras vacias para AAPL (15m)
2026-07-05 14:42:50 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:42:53 | WARNING | trading_bot | Alpaca stream market-stocks error for Paper: Connection to remote host was lost.
2026-07-05 14:42:53 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:42:53 | WARNING | trading_bot | Alpaca stream market-crypto error for Paper: Connection to remote host was lost.
2026-07-05 14:42:53 | INFO | trading_bot | Alpaca stream market-crypto closed for Paper: status=None msg=None
2026-07-05 14:42:53 | WARNING | trading_bot | Alpaca stream news error for Paper: Connection to remote host was lost.
2026-07-05 14:42:53 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:43:04 | WARNING | trading_bot | Alpaca stream market-stocks error for Paper: Connection to remote host was lost.
2026-07-05 14:43:04 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:43:30 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:43:30 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:43:40 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:44:20 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:44:21 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:44:32 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
