2026-07-05 14:35:10 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:35:40 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:36:00 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:36:00 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:36:30 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:36:45 | WARNING | trading_bot | WebSocket stale detectado (market-crypto). Forzando reconexion controlada.
2026-07-05 14:36:50 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:36:50 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:37:20 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:37:40 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:37:40 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:38:10 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:38:30 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:38:30 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:39:00 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:39:20 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:39:20 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
2026-07-05 14:39:50 | WARNING | trading_bot | WebSocket stale detectado (news). Forzando reconexion controlada.
2026-07-05 14:40:10 | WARNING | trading_bot | WebSocket stale detectado (market-stocks). Forzando reconexion controlada.
2026-07-05 14:40:10 | WARNING | trading_bot | WebSocket stale detectado (trade_updates). Forzando reconexion controlada.
